231,1278
212,1132
203,1029
230,1271
236,1300
141,894
144,907
199,1073
201,904
202,1004
193,1139
182,922
214,1117
212,1214
228,1312
233,1292
233,1177
213,1113
216,1167
237,1329
208,1289
192,1078
213,1127
243,1241
226,1178
246,1327
230,1172
207,1098
217,1186
217,1158
254,1443
189,1200
230,1256
216,1119
189,1135
183,1054
194,1118
208,1129
223,1191
204,1015
174,938
232,1180
218,1266
245,1346
240,1316
223,1157
188,1068
222,1140
237,1347
190,1084
221,1237
232,1293
213,1052
243,1409
227,1197
230,1175
193,993
219,1239
214,1197
235,1225
220,1157
226,1207
182,985
241,1293
189,1133

